"","x"
"1",0.542892057893282
"2",1.94433659735299
"3",0.453902230079361
"4",0.576504662146276
"5",0.785534692368641
"6",0.253700374858454
"7",0.319627992110327
"8",0.109802883351222
"9",0.205796839436516
"10",0.0220043885811224
"11",0.519263234334861
"12",0.49841738932637
"13",0.361256995217359
"14",0.491508763262487
"15",0.0540090136430769
"16",0.0990675552748144
"17",0.293589031789452
"18",1.22016218293467
"19",0.488732012709978
"20",0.921940891030145
"21",0.135119151556864
"22",0.0601074317522927
"23",0.589273352154946
"24",0.426321285755789
"25",0.0033293345477432
"26",1.21645397407221
"27",0.162568572210148
"28",0.54547810861351
"29",2.29465346957061
"30",0.28952209930867
"31",0.107554292771965
"32",0.220342919463292
"33",0.0392499237072766
"34",0.533238202693282
"35",0.896506071980012
"36",0.225629888474941
"37",0.00318127509396665
"38",0.31676281709224
"39",2.568304114828
"40",0.255252074217424
"41",0.449656329616939
"42",0.0693077137693763
"43",0.166256614029408
"44",0.455980633364475
"45",0.358149006941772
"46",0.377533202556865
"47",0.296521386131644
"48",0.586973294594741
"49",0.70555653046341
"50",0.888987238476885
