"","x"
"1",8
"2",9
"3",10
"4",4
"5",14
"6",6
"7",10
"8",9
"9",9
"10",7
"11",7
"12",10
"13",5
"14",12
"15",4
"16",7
"17",8
"18",14
"19",12
"20",10
"21",7
"22",14
"23",13
"24",11
"25",9
"26",10
"27",11
"28",13
"29",11
"30",11
"31",6
"32",9
"33",11
"34",7
"35",14
"36",7
"37",8
"38",9
"39",12
"40",7
"41",12
"42",12
"43",11
"44",10
"45",10
"46",17
"47",9
"48",9
"49",14
"50",7
"51",9
"52",13
"53",12
"54",15
"55",8
"56",12
"57",13
"58",8
"59",12
"60",9
"61",8
"62",11
"63",11
"64",11
"65",13
"66",11
"67",10
"68",14
"69",10
"70",15
"71",13
"72",16
"73",10
"74",8
"75",9
"76",6
"77",10
"78",9
"79",9
"80",11
"81",10
"82",9
"83",12
"84",9
"85",9
"86",12
"87",9
"88",6
"89",10
"90",10
"91",10
"92",7
"93",7
"94",12
"95",12
"96",7
"97",13
"98",9
"99",8
"100",7
"101",8
"102",10
"103",7
"104",8
"105",6
"106",8
"107",11
"108",12
"109",4
"110",11
"111",8
"112",8
"113",5
"114",9
"115",8
"116",14
"117",11
"118",9
"119",11
"120",8
"121",13
"122",9
"123",13
"124",12
"125",10
"126",13
"127",14
"128",7
"129",8
"130",14
"131",13
"132",13
"133",5
"134",10
"135",7
"136",9
"137",10
"138",13
"139",7
"140",9
"141",13
"142",9
"143",7
"144",8
"145",12
"146",10
"147",15
"148",10
"149",14
"150",10
"151",9
"152",20
"153",10
"154",11
"155",11
"156",16
"157",14
"158",5
"159",14
"160",11
"161",12
"162",10
"163",6
"164",13
"165",12
"166",7
"167",5
"168",11
"169",11
"170",8
"171",4
"172",7
"173",8
"174",11
"175",4
"176",9
"177",11
"178",11
"179",15
"180",8
"181",9
"182",19
"183",11
"184",13
"185",8
"186",12
"187",9
"188",9
"189",8
"190",9
"191",11
"192",10
"193",13
"194",15
"195",14
"196",11
"197",5
"198",7
"199",14
"200",6
"201",11
"202",9
"203",8
"204",6
"205",5
"206",6
"207",11
"208",10
"209",10
"210",11
"211",9
"212",14
"213",12
"214",9
"215",15
"216",8
"217",11
"218",13
"219",14
"220",7
"221",9
"222",7
"223",9
"224",10
"225",9
"226",9
"227",2
"228",6
"229",10
"230",9
"231",12
"232",6
"233",17
"234",9
"235",10
"236",12
"237",9
"238",4
"239",7
"240",17
"241",13
"242",14
"243",7
"244",11
"245",8
"246",5
"247",15
"248",9
"249",9
"250",9
"251",12
"252",10
"253",10
"254",15
"255",8
"256",5
"257",7
"258",13
"259",11
"260",8
"261",8
"262",10
"263",8
"264",8
"265",10
"266",11
"267",10
"268",13
"269",7
"270",8
"271",5
"272",14
"273",12
"274",8
"275",9
"276",6
"277",10
"278",11
"279",16
"280",9
"281",12
"282",10
"283",11
"284",11
"285",3
"286",8
"287",8
"288",9
"289",6
"290",11
"291",11
"292",12
"293",9
"294",12
"295",12
"296",9
"297",8
"298",8
"299",7
"300",17
"301",7
"302",6
"303",7
"304",12
"305",11
"306",4
"307",12
"308",8
"309",11
"310",12
"311",10
"312",14
"313",9
"314",10
"315",6
"316",8
"317",7
"318",10
"319",6
"320",9
"321",10
"322",8
"323",10
"324",6
"325",14
"326",18
"327",12
"328",12
"329",6
"330",12
"331",9
"332",12
"333",10
"334",7
"335",6
"336",13
"337",5
"338",13
"339",10
"340",10
"341",8
"342",6
"343",11
"344",6
"345",7
"346",12
"347",13
"348",12
"349",12
"350",10
"351",7
"352",8
"353",4
"354",10
"355",9
"356",10
"357",7
"358",12
"359",12
"360",13
"361",8
"362",14
"363",11
"364",9
"365",14
"366",13
"367",9
"368",15
"369",9
"370",11
"371",11
"372",10
"373",11
"374",10
"375",11
"376",12
"377",15
"378",11
"379",19
"380",6
"381",10
"382",10
"383",15
"384",9
"385",16
"386",5
"387",11
"388",12
"389",6
"390",13
"391",8
"392",11
"393",11
"394",12
"395",10
"396",11
"397",15
"398",9
"399",12
"400",9
"401",9
"402",11
"403",14
"404",10
"405",8
"406",9
"407",12
"408",6
"409",12
"410",11
"411",8
"412",14
"413",11
"414",10
"415",13
"416",9
"417",7
"418",11
"419",12
"420",9
"421",12
"422",11
"423",11
"424",11
"425",8
"426",4
"427",5
"428",12
"429",12
"430",8
"431",9
"432",10
"433",7
"434",10
"435",9
"436",9
"437",18
"438",5
"439",3
"440",10
"441",11
"442",9
"443",14
"444",7
"445",13
"446",5
"447",9
"448",8
"449",10
"450",10
"451",11
"452",12
"453",14
"454",8
"455",15
"456",9
"457",9
"458",11
"459",8
"460",11
"461",10
"462",8
"463",9
"464",11
"465",10
"466",6
"467",12
"468",12
"469",7
"470",7
"471",5
"472",16
"473",10
"474",11
"475",11
"476",8
"477",6
"478",9
"479",11
"480",11
"481",9
"482",8
"483",10
"484",10
"485",7
"486",11
"487",10
"488",14
"489",16
"490",16
"491",8
"492",10
"493",10
"494",8
"495",12
"496",7
"497",9
"498",13
"499",8
"500",7
"501",9
"502",14
"503",9
"504",18
"505",9
"506",16
"507",15
"508",12
"509",9
"510",9
"511",11
"512",9
"513",11
"514",13
"515",6
"516",7
"517",10
"518",11
"519",7
"520",14
"521",6
"522",13
"523",11
"524",12
"525",5
"526",11
"527",11
"528",16
"529",10
"530",11
"531",11
"532",9
"533",12
"534",10
"535",10
"536",5
"537",9
"538",10
"539",9
"540",8
"541",7
"542",9
"543",10
"544",7
"545",9
"546",8
"547",6
"548",9
"549",4
"550",8
"551",7
"552",11
"553",8
"554",12
"555",8
"556",9
"557",10
"558",11
"559",11
"560",13
"561",8
"562",8
"563",11
"564",10
"565",10
"566",12
"567",7
"568",6
"569",5
"570",12
"571",10
"572",14
"573",16
"574",11
"575",10
"576",10
"577",10
"578",6
"579",7
"580",7
"581",11
"582",6
"583",12
"584",16
"585",16
"586",10
"587",11
"588",13
"589",6
"590",6
"591",11
"592",9
"593",10
"594",6
"595",11
"596",7
"597",14
"598",7
"599",12
"600",12
"601",6
"602",13
"603",17
"604",10
"605",10
"606",8
"607",14
"608",8
"609",10
"610",12
"611",14
"612",11
"613",10
"614",12
"615",12
"616",9
"617",6
"618",10
"619",10
"620",9
"621",10
"622",9
"623",7
"624",11
"625",7
"626",11
"627",8
"628",10
"629",8
"630",8
"631",6
"632",9
"633",13
"634",9
"635",7
"636",18
"637",10
"638",9
"639",6
"640",9
"641",10
"642",7
"643",10
"644",14
"645",9
"646",10
"647",6
"648",8
"649",10
"650",12
"651",10
"652",13
"653",9
"654",8
"655",8
"656",10
"657",6
"658",11
"659",13
"660",11
"661",6
"662",9
"663",9
"664",6
"665",12
"666",12
"667",19
"668",11
"669",7
"670",11
"671",13
"672",12
"673",13
"674",13
"675",3
"676",11
"677",12
"678",6
"679",6
"680",9
"681",14
"682",14
"683",13
"684",10
"685",6
"686",7
"687",12
"688",7
"689",7
"690",6
"691",11
"692",7
"693",8
"694",7
"695",13
"696",10
"697",13
"698",11
"699",12
"700",13
"701",8
"702",12
"703",8
"704",13
"705",8
"706",5
"707",8
"708",10
"709",10
"710",13
"711",8
"712",5
"713",12
"714",12
"715",14
"716",6
"717",14
"718",9
"719",7
"720",14
"721",4
"722",12
"723",11
"724",8
"725",5
"726",13
"727",12
"728",12
"729",8
"730",13
"731",11
"732",12
"733",7
"734",5
"735",9
"736",7
"737",12
"738",7
"739",8
"740",11
"741",13
"742",9
"743",11
"744",7
"745",9
"746",10
"747",14
"748",13
"749",5
"750",6
"751",6
"752",10
"753",8
"754",7
"755",7
"756",8
"757",8
"758",7
"759",11
"760",10
"761",7
"762",10
"763",16
"764",11
"765",11
"766",12
"767",10
"768",15
"769",10
"770",8
"771",8
"772",14
"773",15
"774",10
"775",6
"776",9
"777",11
"778",9
"779",6
"780",7
"781",11
"782",7
"783",11
"784",11
"785",8
"786",9
"787",9
"788",8
"789",8
"790",9
"791",3
"792",7
"793",10
"794",6
"795",9
"796",10
"797",11
"798",11
"799",8
"800",10
"801",14
"802",5
"803",10
"804",14
"805",15
"806",6
"807",7
"808",14
"809",13
"810",10
"811",12
"812",13
"813",8
"814",12
"815",12
"816",11
"817",12
"818",8
"819",11
"820",10
"821",14
"822",12
"823",16
"824",11
"825",6
"826",8
"827",10
"828",8
"829",14
"830",7
"831",14
"832",13
"833",15
"834",8
"835",10
"836",11
"837",13
"838",10
"839",13
"840",12
"841",13
"842",10
"843",13
"844",14
"845",14
"846",10
"847",7
"848",12
"849",8
"850",8
"851",12
"852",12
"853",12
"854",10
"855",12
"856",10
"857",11
"858",7
"859",13
"860",10
"861",14
"862",7
"863",11
"864",14
"865",8
"866",11
"867",9
"868",4
"869",8
"870",10
"871",6
"872",10
"873",11
"874",15
"875",12
"876",17
"877",7
"878",9
"879",5
"880",9
"881",10
"882",12
"883",11
"884",10
"885",9
"886",5
"887",9
"888",7
"889",6
"890",4
"891",16
"892",8
"893",16
"894",8
"895",7
"896",10
"897",7
"898",9
"899",11
"900",5
"901",16
"902",12
"903",8
"904",7
"905",7
"906",14
"907",14
"908",9
"909",7
"910",11
"911",12
"912",7
"913",12
