"","x"
"1",1.90011362733114
"2",3.30163279655216
"3",1.11875744757899
"4",2.16398246644662
"5",0.398751290722418
"6",1.56886999338232
"7",2.19487026567825
"8",4.01928933321508
"9",4.31846831045836
"10",3.51609718875493
"11",3.48752375479981
"12",2.27839703906886
"13",4.47426613285116
"14",1.93708645096627
"15",2.64224040449172
"16",3.26014665591827
"17",3.44549269991581
"18",2.77373200125709
"19",3.289400088829
"20",1.8797821451314
"21",2.5721941682722
"22",2.88569925228824
"23",4.8170311070138
"24",3.48151754724221
"25",3.55222097662444
"26",3.49149643916363
"27",3.10459995686622
"28",2.88958958469955
"29",2.16413811834329
"30",4.11968190678362
"31",4.10420253062506
"32",2.63873219462732
"33",2.1556868096561
"34",1.86465054917463
"35",2.96345965287312
"36",3.32653435357219
"37",1.62302898029987
"38",1.78227190795278
"39",4.25160109688535
"40",2.22182038337336
"41",3.57312669271981
"42",2.32713431822764
"43",2.60766426530759
"44",4.82713049384217
"45",2.6590633579669
"46",2.8801754075094
"47",4.72294559632038
"48",2.26671506403252
"49",5.63923155820652
"50",2.34961875563545
