"","x"
"1",0.594864990378132
"2",0.837814976752044
"3",0.489646937664259
"4",0.361924572635293
"5",0.496513690641282
"6",0.197310904731071
"7",0.238739656794122
"8",0.220684786231401
"9",0.907636854089725
"10",0.294301913169514
"11",0.356836017500097
"12",0.335848619562756
"13",0.043082396256408
"14",0.212114121452652
"15",0.378618865505137
"16",0.450842817490444
"17",0.232648871062809
"18",0.396409640347064
"19",0.235167281857797
"20",0.586414204037807
"21",0.400925181893172
"22",0.347212140023255
"23",0.800244929846799
"24",0.155509769495395
"25",0.594471029152658
"26",0.168020243587998
"27",0.210459997944215
"28",0.660037057367672
"29",0.611350766908718
"30",0.446403074725367
"31",0.235182042041673
"32",0.246710305258575
"33",0.31456969154078
"34",0.523624467060735
"35",0.114388154500895
"36",0.607712823994174
"37",0.0824298344086787
"38",0.621430508731682
"39",0.670290829478591
"40",0.623981929839351
"41",0.594731505360879
"42",0.411467429376205
"43",0.157070838740527
"44",0.100450561249472
"45",0.231996756569558
"46",0.287770336932896
"47",0.226331889352253
"48",0.251637368853026
"49",0.408805449246028
"50",0.330519123766094
"51",0.269695842684229
"52",0.527044391021467
"53",0.326005499147736
"54",0.287147053713576
"55",0.332463232491139
"56",0.480456143381371
"57",0.269148334021063
"58",0.567429423044649
"59",0.566263811703641
"60",0.418054698975755
"61",0.532049124377585
"62",0.148439416489914
"63",0.334483721514188
"64",0.327272070845975
"65",0.718405064462857
"66",0.489706644594139
"67",0.208720837116611
"68",0.597207008248353
"69",0.358647588865007
"70",0.418288168068715
"71",0.115318563151612
"72",0.818910867677232
"73",0.701499895337049
"74",0.357077979938638
"75",0.769557551270482
"76",0.476936419081926
"77",0.905929492195484
"78",0.187008525513502
"79",0.458864731337128
"80",0.22419087118776
"81",0.349239015559137
"82",0.293532382025851
"83",0.621015281356018
"84",0.166183441715552
"85",0.535790232349171
"86",0.276048668008608
"87",0.4106017201309
"88",0.682335585388274
"89",0.433380543491335
"90",0.365527090991586
"91",0.536640679636195
"92",0.279899895549535
"93",0.0865087055865737
"94",0.621422368291977
"95",0.567327515006534
"96",0.327275040673119
"97",0.362932998262384
"98",0.5621869637002
"99",0.757864903448958
"100",0.359912077811668
"101",0.519767895663183
"102",0.52200725992773
"103",0.280957902679093
"104",0.59274859415774
"105",0.494682233878645
"106",0.0843256796012283
"107",0.229785969673248
"108",0.699701709200618
"109",0.283682362731373
"110",0.392817757697106
"111",0.640562761939799
"112",0.558996983556953
"113",0.508417983343168
"114",0.203608834995467
"115",0.356685058952396
"116",0.439449784782561
"117",0.316616482333155
"118",0.232408330387452
"119",0.18696515982705
"120",0.543119902308291
"121",0.228478242214025
"122",0.438577489309697
"123",0.127016616146255
"124",0.513735111806175
"125",0.545298279459426
