"","x"
"1",2.20290536697908
"2",0.715780618600547
"3",0.214988654479384
"4",1.94616364865544
"5",1.94066762170734
"6",0.932342944666743
"7",0.568841220811009
"8",0.370990275378459
"9",1.73511504746022
"10",1.02908465452492
"11",0.456221614032984
"12",2.63301545000615
"13",0.749219857156277
"14",0.189979419172724
"15",1.46594150576895
"16",2.4004215466881
"17",1.42774302876534
"18",2.28497686973753
"19",1.13622065540403
"20",8.87046883204832
"21",1.77885703175309
"22",1.71899136706235
"23",0.703845876269042
"24",2.22702740310671
"25",0.350150087833532
"26",0.564588713459671
"27",0.463569309972329
"28",3.55931857956534
"29",0.415226099081337
"30",1.06361437216401
"31",3.07234801587121
"32",3.94596749154811
"33",1.10932280588895
"34",1.18969193845987
"35",6.15141221847305
"36",0.750176588073373
"37",1.86728415257278
"38",2.45375982849839
"39",0.787304574623704
"40",0.915551819838583
"41",1.99132449843253
"42",0.371563776396215
"43",3.33771363256459
"44",1.34631888195872
"45",0.842367709614336
"46",1.42444173958112
"47",4.02061153931503
"48",2.98476591689472
"49",0.539992751553655
"50",2.98811537673022
"51",2.39836038454416
"52",4.2488531952066
"53",0.199773340962639
"54",1.55849758713486
"55",3.92582592351322
"56",0.774223995395005
"57",1.07630619592965
"58",3.42544603703504
"59",6.74187880720863
"60",1.62073368757012
"61",2.57337457678261
"62",1.76868444486501
"63",2.9230920409966
"64",10.7456760139843
"65",0.171809299117771
"66",0.29100494656715
"67",0.468795112076765
"68",1.06030890718102
"69",2.54443499091228
"70",1.84861918530407
"71",0.682284495793283
"72",0.374392706291785
"73",2.91641765565125
"74",2.34876936114942
"75",0.938756752759218
"76",2.56167169279399
"77",1.29358101636171
"78",0.463434056964827
"79",3.08978982998018
"80",1.73984835102203
"81",0.10048449691385
"82",0.29477303288877
"83",0.559145984239876
"84",0.831153216771781
"85",0.279851433423364
"86",1.31758122704923
"87",0.457000675611198
"88",2.63697322449627
"89",10.7476385565181
"90",0.829987862147391
"91",0.303948234766722
"92",3.03277099860792
"93",9.5828908453311
"94",9.9753730030437
"95",5.78026194836865
"96",2.90646355254152
"97",2.05853270186235
"98",0.410388823238172
"99",5.28006943066278
"100",2.13899485759294
"101",0.781768896616995
"102",1.76093098380788
"103",0.505758565850556
"104",1.0408767554909
"105",10.3458459110637
"106",1.64532068922164
"107",2.0856156311089
"108",1.16626587603241
"109",0.209477392025292
"110",1.08544399868697
"111",1.36064979340881
"112",1.10169731639326
"113",1.29754189122468
"114",1.62715294203701
"115",0.544084815041265
"116",2.2191485147083
"117",1.77686806946042
"118",1.61846962935271
"119",1.74750802471283
"120",0.951734586061942
"121",0.206295398063958
"122",0.26462538701088
"123",4.66194161374993
"124",0.791778987273574
"125",3.76926702989225
"126",7.34918426758995
"127",4.26231613242741
"128",0.565358985421168
"129",2.68915033518317
"130",0.993867888115346
"131",4.82035301973052
"132",1.35930993873626
"133",6.28036494519482
"134",1.40534550874474
"135",0.498188733123243
"136",0.570927552878857
"137",0.473658297210932
"138",0.112202077172697
"139",0.647993730381131
"140",0.696341880597174
"141",4.64520345582806
"142",5.22626413752265
"143",2.83358756808524
"144",5.157082888977
"145",4.13428594155197
"146",7.79631168725801
"147",2.0078467154118
"148",0.0464588897302747
"149",1.06833711266518
